WABA Name,Product,Conversations,Total
,Spain - Service,8,0.32
,Turkey - Service,3,0.00
,United Arab Emirates - Service,104,2.00
,United Kingdom - Service,32,1.28
 Kashees Beauty Parlour / 101586196364523,Egypt - Service,1,0.06
,France - Service,1,0.09
,Germany - Service,2,0.16
,India - Service,67,0.23
,Italy - Service,4,0.16
,Malaysia - Service,5,0.10
,North America - Service,46,0.46
,Other - Service,2,0.02
,Pakistan - Service,5067,71.97
,Rest of Africa - Service,4,0.16
,Rest of Asia Pacific - Service,41,0.88
,Rest of Middle East - Service,26,0.53
,Rest of Western Europe - Service,8,0.32
,Saudi Arabia - Service,29,0.58
,Spain - Service,3,0.12
,Turkey - Service,2,0.00
,United Arab Emirates - Service,47,0.94
,United Kingdom - Service,34,1.36
 Kistpay (Private) Limited / 187761666695851,India - Service,2,0.00
,Malaysia - Service,2,0.04
,North America - Service,4,0.04
,Pakistan - Service,5047,71.63
,Rest of Asia Pacific - Service,1,0.02
,Rest of Central & Eastern Europe - Service,1,0.03
,Rest of Middle East - Service,2,0.04
,Russia - Service,1,0.04
,Saudi Arabia - Service,15,0.30
,United Arab Emirates - Service,21,0.41
,United Kingdom - Service,9,0.36
 KTrade Securities Limited / 103878492442260,India - Service,1,0.00
,Italy - Service,1,0.04
,North America - Service,7,0.07
,Pakistan - Service,1220,17.32
,Rest of Asia Pacific - Service,1,0.02
,Rest of Middle East - Service,8,0.16
,Rest of Western Europe - Service,1,0.04
,Saudi Arabia - Service,24,0.48
,Spain - Service,2,0.08
,United Arab Emirates - Service,10,0.20
,United Kingdom - Service,6,0.24
 Local-E-store / 101707592624590,Pakistan - Service,35,0.50
 Markaz Technologies / 102343546233100,Pakistan - Marketing,14,0.66
 Mobilink Microfinance Bank Limited / 982854749192050,Argentina - Service,1,0.03
,France - Service,3,0.27
,Germany - Service,2,0.16
,India - Service,2,0.00
,Malaysia - Service,7,0.14
,North America - Service,9,0.09
,Other - Service,4,0.04
,Pakistan - Service,5899,83.74
,Rest of Africa - Service,1,0.04
,Rest of Asia Pacific - Service,3,0.06
,Rest of Central & Eastern Europe - Service,1,0.03
,Rest of Middle East - Service,21,0.42
,Rest of Western Europe - Service,1,0.04
,Saudi Arabia - Service,24,0.48
,South Africa - Service,1,0.02
,Spain - Service,3,0.12
,United Arab Emirates - Service,47,0.94
,United Kingdom - Service,16,0.64
 Multinet Pakistan Pvt. Ltd / 189925236073171,North America - Service,9,0.09
,Pakistan - Service,2775,39.40
,Rest of Africa - Service,1,0.04
,Rest of Asia Pacific - Service,5,0.10
,Rest of Middle East - Service,4,0.08
,Saudi Arabia - Service,14,0.28
,Turkey - Service,2,0.00
,United Arab Emirates - Service,28,0.55
,United Kingdom - Service,12,0.48
 Mystic Zone Marketing Services LLC / 107542548959190,Pakistan - Marketing,1,0.05
,United Arab Emirates - Marketing,500,16.96
 National Motor Company / 122103533600007135,Pakistan - Marketing,2,0.09
,Pakistan - Utility,1,0.03
,Rest of Middle East - Marketing,24450,833.74
 Pak Telecom Mobile Limited / 105909172109033,Pakistan - Marketing,2,0.09
 Pakistan Cables Limited / 1001012800772338,Argentina - Service,1,0.03
,North America - Service,1,0.01
,Other - Service,1,0.01
,Pakistan - Marketing,756,35.77
,Pakistan - Service,1044,14.83
,Rest of Asia Pacific - Service,7,0.14
,Rest of Western Europe - Service,1,0.04
,Saudi Arabia - Service,4,0.08
,South Africa - Service,1,0.02
,United Arab Emirates - Service,1,0.02
,United Kingdom - Service,2,0.08
 PakQatar Family Takaful Limited / 296255985257944,North America - Service,2,0.02
,Pakistan - Service,1785,25.34
,Rest of Asia Pacific - Service,1,0.02
,Rest of Middle East - Service,1,0.02
,Saudi Arabia - Service,10,0.20
,United Arab Emirates - Service,7,0.14
,United Kingdom - Service,1,0.04
 Savyour (Private) Limited / 732687961005950,Israel - Service,1,0.02
,Italy - Service,3,0.12
,North America - Service,2,0.02
,Pakistan - Service,4040,57.33
,Rest of Asia Pacific - Service,1,0.02
,Rest of Central & Eastern Europe - Service,3,0.09
,Rest of Middle East - Service,3,0.06
,Saudi Arabia - Service,3,0.06
,South Africa - Service,3,0.06
,United Arab Emirates - Service,12,0.24
,United Kingdom - Service,8,0.32
 Special Communications Organization / 112163335226450,Germany - Service,1,0.08
,Indonesia - Service,1,0.02
,Italy - Service,2,0.08
,Malaysia - Service,3,0.06
,Netherlands - Service,1,0.09
,North America - Service,18,0.18
,Other - Service,2,0.02
,Pakistan - Service,14621,207.62
,Pakistan - Utility,21,0.54
,Rest of Africa - Service,2,0.08
,Rest of Asia Pacific - Service,9,0.18
,Rest of Central & Eastern Europe - Service,2,0.06
,Rest of Middle East - Service,21,0.43
,Rest of Western Europe - Service,3,0.12
,Russia - Service,1,0.04
,Saudi Arabia - Service,47,0.94
,South Africa - Service,1,0.02
,Spain - Service,1,0.04
,Turkey - Service,3,0.00
,United Arab Emirates - Service,62,1.22
,United Kingdom - Service,39,1.56
 SSFR PVT. LTD / 1868778473281886,France - Service,5,0.45
,Germany - Service,10,0.81
,India - Service,41,0.16
,Indonesia - Service,1,0.02
,Italy - Service,9,0.36
,Netherlands - Service,11,0.99
,Nigeria - Service,1,0.03
,North America - Service,297,2.59
,Other - Service,15,0.18
,Pakistan - Service,1121,15.89
,Rest of Africa - Service,7,0.26
,Rest of Asia Pacific - Service,37,0.81
,Rest of Middle East - Service,30,0.64
,Rest of Western Europe - Service,34,1.36
,Saudi Arabia - Service,19,0.38
,South Africa - Service,1,0.02
,United Arab Emirates - Service,66,1.30
,United Kingdom - Service,264,10.25
 Takaful Market Pvt Ltd / 102837596122171,Colombia - Service,1,0.01
,Germany - Service,1,0.08
,North America - Service,1,0.01
,Pakistan - Service,457,6.49
,Rest of Middle East - Service,1,0.02
,Saudi Arabia - Service,2,0.04
,Turkey - Service,1,0.00
,United Arab Emirates - Service,79,1.51
 TCS (Private) Limited / 159693416182041,Brazil - Service,1,0.03
,Chile - Service,1,0.05
,Egypt - Service,4,0.24
,France - Service,23,2.02
,Germany - Service,45,3.64
,India - Service,72,0.28
,Indonesia - Service,21,0.42
,Israel - Service,1,0.02
,Italy - Service,56,2.23
,Malaysia - Service,1524,33.51
,Mexico - Service,1,0.01
,Netherlands - Service,11,0.99
,Nigeria - Service,2,0.06
,North America - Service,445,3.91
,Other - Service,100,1.41
,Pakistan - Service,95120,1350.72
,Peru - Service,2,0.04
,Rest of Africa - Service,54,2.00
,Rest of Asia Pacific - Service,636,14.22
,Rest of Central & Eastern Europe - Service,40,1.03
,Rest of Middle East - Service,289,6.30
,Rest of Western Europe - Service,85,3.40
,Russia - Service,7,0.28
,Saudi Arabia - Service,621,12.12
,South Africa - Service,28,0.47
,Spain - Service,79,2.89
,Turkey - Service,18,0.05
,United Arab Emirates - Service,990,18.82
,United Kingdom - Service,511,19.84
 The Aga Khan Hospital and Medical College Foundation / 105212462355536,Germany - Service,6,0.48
,India - Service,1,0.00
,Malaysia - Service,1,0.02
,Netherlands - Service,1,0.09
,Nigeria - Service,2,0.06
,North America - Service,33,0.33
,Other - Service,5,0.06
,Pakistan - Service,10785,153.11
,Rest of Africa - Service,14,0.53
,Rest of Asia Pacific - Service,59,1.27
,Rest of Middle East - Service,31,0.65
,Rest of Western Europe - Service,5,0.20
,Saudi Arabia - Service,24,0.48
,South Africa - Service,1,0.02
,Turkey - Service,2,0.00
,United Arab Emirates - Service,81,1.61
,United Kingdom - Service,35,1.39
 Unilever Food Solutions / 110839815160904,Pakistan - Marketing,79,3.74
 Zod Tech (Pvt) Ltd / 105137209067233,United Arab Emirates - Authentication,1.0,0.02
,United Kingdom - Authentication,1.0,0.04
