WABA Name,Product,Conversations,Total
,Pakistan - Marketing,1,0.05
,Pakistan - Service,381633,5419.23
,Rest of Africa - Service,10,0.40
,Rest of Asia Pacific - Service,41,0.86
,Rest of Central & Eastern Europe - Service,8,0.23
,Rest of Middle East - Service,128,2.78
,Rest of Western Europe - Service,20,0.80
,Saudi Arabia - Service,218,4.28
,South Africa - Service,7,0.13
,Spain - Service,2,0.08
,Turkey - Service,2,0.00
,United Arab Emirates - Service,246,4.68
,United Kingdom - Service,125,4.88
 Kashees Beauty Parlour / 101586196364523,France - Service,1,0.09
,India - Service,10,0.02
,North America - Service,12,0.12
,Pakistan - Service,1188,16.85
,Rest of Asia Pacific - Service,14,0.29
,Rest of Middle East - Service,7,0.14
,Saudi Arabia - Service,11,0.22
,Spain - Service,2,0.08
,United Arab Emirates - Service,16,0.32
,United Kingdom - Service,12,0.48
 Kistpay (Private) Limited / 187761666695851,France - Service,1,0.09
,India - Service,2,0.00
,Italy - Service,1,0.04
,Mexico - Service,1,0.01
,North America - Service,8,0.08
,Pakistan - Marketing,237,11.21
,Pakistan - Service,7491,106.37
,Rest of Asia Pacific - Service,1,0.02
,Rest of Middle East - Marketing,1,0.03
,Rest of Middle East - Service,10,0.22
,Saudi Arabia - Service,18,0.36
,United Arab Emirates - Service,32,0.62
,United Kingdom - Service,3,0.12
 KTrade Securities Limited / 103878492442260,France - Service,1,0.09
,India - Service,1,0.00
,Italy - Service,3,0.12
,Malaysia - Service,1,0.02
,North America - Service,6,0.06
,Other - Service,1,0.01
,Pakistan - Service,1934,27.48
,Rest of Asia Pacific - Service,2,0.04
,Rest of Central & Eastern Europe - Service,4,0.12
,Rest of Middle East - Service,17,0.36
,Rest of Western Europe - Service,1,0.04
,Saudi Arabia - Service,20,0.40
,Turkey - Service,1,0.00
,United Arab Emirates - Service,25,0.50
,United Kingdom - Service,8,0.32
 Local-E-store / 101707592624590,India - Service,1,0.00
,North America - Service,2,0.02
,Pakistan - Service,2271,32.22
,Rest of Asia Pacific - Service,6,0.12
,Rest of Western Europe - Service,1,0.04
,United Arab Emirates - Service,1,0.02
 MAKKAH PHARAMCY (L.L.C) / 110059898642738,Pakistan - Marketing,2,0.09
,United Arab Emirates - Marketing,5,0.17
 Markaz Technologies / 102343546233100,Pakistan - Marketing,4,0.19
 Mobilink Microfinance Bank Limited / 982854749192050,Argentina - Service,1,0.03
,France - Service,1,0.09
,Germany - Service,1,0.08
,India - Service,4,0.00
,Italy - Service,3,0.12
,Malaysia - Service,7,0.14
,Nigeria - Service,1,0.03
,North America - Service,10,0.10
,Other - Service,5,0.05
,Pakistan - Service,5799,82.34
,Rest of Africa - Service,2,0.08
,Rest of Asia Pacific - Service,5,0.10
,Rest of Central & Eastern Europe - Service,4,0.12
,Rest of Middle East - Service,13,0.26
,Rest of Western Europe - Service,2,0.08
,Saudi Arabia - Service,41,0.82
,South Africa - Service,3,0.06
,Turkey - Service,1,0.00
,United Arab Emirates - Service,48,0.95
,United Kingdom - Service,5,0.20
 Multinet Pakistan Pvt. Ltd / 189925236073171,Malaysia - Service,1,0.02
,North America - Service,12,0.12
,Pakistan - Service,2055,29.17
,Rest of Africa - Service,3,0.12
,Rest of Asia Pacific - Service,2,0.04
,Rest of Middle East - Service,8,0.17
,Saudi Arabia - Service,17,0.34
,Turkey - Service,2,0.00
,United Arab Emirates - Service,23,0.46
,United Kingdom - Service,4,0.16
 Mystic Zone Marketing Services LLC / 107542548959190,Pakistan - Marketing,4,0.19
