Product,Price type,Conversations,Discount percentage,Total
India - Marketing,List,44,--,$0.44
Italy - Marketing,List,2,--,$0.14
Mexico - Marketing,List,2,--,$0.08
Netherlands - Marketing,List,4,--,$0.64
North America - Marketing,List,38,--,$0.96
Other - Marketing,List,4,--,$0.24
Pakistan - Marketing,List,52,--,$2.46
Rest of Africa - Marketing,List,11,--,$0.25
Rest of Asia Pacific - Marketing,List,21,--,$1.54
Rest of Central & Eastern Europe - Marketing,List,6,--,$0.52
Rest of Middle East - Marketing,List,"4,765",--,$162.49
Product,Price type,Conversations,Discount percentage,Total
Rest of Western Europe - Marketing,List,6,--,$0.36
Russia - Marketing,List,2,--,$0.16
Saudi Arabia - Marketing,List,379,--,$15.38
South Africa - Marketing,List,2,--,$0.08
United Arab Emirates - Marketing,List,37,--,$1.26
United Kingdom - Marketing,List,10,--,$0.70
,,,,$190.24
,,,,USD
HABIB BANK LIMITED,,,,
Argentina - Service,List,1,--,$0.03
Brazil - Service,List,1,--,$0.03
Chile - Service,List,1,--,$0.05
Egypt - Service,List,1,--,$0.06
France - Marketing,List,1,--,$0.14
France - Service,List,20,--,$1.75
Germany - Marketing,List,3,--,$0.41
Germany - Service,List,40,--,$3.25
India - Service,List,8,--,$0.01
Indonesia - Service,List,3,--,$0.06
Italy - Marketing,List,4,--,$0.28
Italy - Service,List,60,--,$2.35
Malaysia - Marketing,List,5,--,$0.44
Malaysia - Service,List,80,--,$1.77
Malaysia - Utility,List,4,--,$0.08
Mexico - Service,List,1,--,$0.01
Netherlands - Service,List,14,--,$1.26
Nigeria - Service,List,14,--,$0.42
North America - Marketing,List,9,--,$0.24
North America - Service,List,329,--,$2.92
North America - Utility,List,2,--,$0.04
Other - Marketing,List,3,--,$0.18
Other - Service,List,80,--,$1.12
Pakistan - Marketing,List,"16,989",--,$803.58
Pakistan - Service,List,"145,056",--,"$2,059.84"
Pakistan - Utility,List,39,--,$0.99
Rest of Africa - Service,List,38,--,$1.42
Rest of Asia Pacific - Marketing,List,13,--,$0.95
Rest of Asia Pacific - Service,List,218,--,$4.85
Rest of Asia Pacific - Utility,List,3,--,$0.14
Rest of Central & Eastern Europe - Marketing,List,1,--,$0.09
Rest of Central & Eastern Europe - Service,List,42,--,$1.10
Rest of Central & Eastern Europe - Utility,List,2,--,$0.12
Rest of Latin America - Service,List,2,--,$0.08
Rest of Middle East - Marketing,List,28,--,$0.95
Rest of Middle East - Service,List,616,--,$13.48
Rest of Middle East - Utility,List,12,--,$0.24
Product,Price type,Conversations,Discount percentage,Total
Rest of Western Europe - Marketing,List,7,--,$0.42
Rest of Western Europe - Service,List,95,--,$3.80
Rest of Western Europe - Utility,List,5,--,$0.21
Russia - Service,List,4,--,$0.16
Saudi Arabia - Marketing,List,190,--,$7.72
Saudi Arabia - Service,List,"1,575",--,$30.72
Saudi Arabia - Utility,List,83,--,$2.11
South Africa - Marketing,List,4,--,$0.15
South Africa - Service,List,43,--,$0.74
South Africa - Utility,List,1,--,$0.02
Spain - Marketing,List,2,--,$0.12
Spain - Service,List,41,--,$1.53
Turkey - Service,List,18,--,$0.05
United Arab Emirates - Marketing,List,83,--,$2.82
United Arab Emirates - Service,List,"1,430",--,$27.16
United Arab Emirates - Utility,List,23,--,$0.46
United Kingdom - Marketing,List,33,--,$2.32
United Kingdom - Service,List,568,--,$22.04
United Kingdom - Utility,List,18,--,$0.72
,,,,"$3,008.00"
,,,,USD
Ismail Industries Limited,,,,
Germany - Service,List,4,--,$0.32
North America - Service,List,3,--,$0.03
Pakistan - Marketing,List,5,--,$0.24
Pakistan - Service,List,"8,783",--,$124.70
Rest of Asia Pacific - Service,List,2,--,$0.04
Rest of Middle East - Service,List,2,--,$0.04
Rest of Western Europe - Service,List,1,--,$0.04
Saudi Arabia - Service,List,6,--,$0.12
Turkey - Service,List,1,--,$0.00
United Arab Emirates - Service,List,6,--,$0.12
,,,,$125.65
,,,,USD
Jugnu Tech (Private) Limited,,,,
Pakistan - Service,List,"1,572",--,$22.31
Rest of Middle East - Service,List,2,--,$0.04
Rest of Western Europe - Service,List,1,--,$0.04
Saudi Arabia - Service,List,3,--,$0.06
United Arab Emirates - Service,List,3,--,$0.06
United Kingdom - Service,List,1,--,$0.04
,,,,$22.55
,,,,USD
Product,Price type,Conversations,Discount percentage,Total
Kistpay (Private) Limited,,,,
Pakistan - Marketing,List,54,--,$2.52
,,,,$2.52
,,,,USD
KTrade Securities Limited,,,,
Italy - Service,List,1,--,$0.04
North America - Service,List,5,--,$0.05
Other - Service,List,1,--,$0.01
Pakistan - Service,List,"1,528",--,$21.70
Rest of Asia Pacific - Service,List,4,--,$0.08
Rest of Middle East - Service,List,9,--,$0.18
Rest of Western Europe - Service,List,3,--,$0.12
Saudi Arabia - Service,List,42,--,$0.84
Turkey - Service,List,1,--,$0.00
United Arab Emirates - Service,List,25,--,$0.50
United Kingdom - Service,List,8,--,$0.32
,,,,$23.84
,,,,USD
Local-E-store,,,,
India - Service,List,2,--,$0.00
Pakistan - Service,List,"1,009",--,$14.30
Saudi Arabia - Service,List,2,--,$0.04
United Kingdom - Service,List,1,--,$0.04
,,,,$14.38
,,,,USD
MAKKAH PHARAMCY (L.L.C),,,,
United Arab Emirates - Utility,List,1,--,$0.02
,,,,$0.02
,,,,USD
Mobilink Microfinance Bank Limited,,,,
France - Service,List,1,--,$0.09
Germany - Service,List,1,--,$0.08
India - Service,List,17,--,$0.04
Italy - Service,List,6,--,$0.24
Malaysia - Service,List,9,--,$0.18
Nigeria - Service,List,1,--,$0.03
North America - Service,List,14,--,$0.14
Pakistan - Service,List,"6,927",--,$98.36
Rest of Africa - Service,List,3,--,$0.12
Product,Price type,Conversations,Discount percentage,Total
Rest of Asia Pacific - Service,List,8,--,$0.16
Rest of Central & Eastern Europe - Service,List,1,--,$0.03
Rest of Middle East - Service,List,6,--,$0.12
Rest of Western Europe - Service,List,1,--,$0.04
Saudi Arabia - Service,List,49,--,$0.98
South Africa - Service,List,1,--,$0.02
Spain - Service,List,2,--,$0.08
Turkey - Service,List,3,--,$0.01
United Arab Emirates - Service,List,47,--,$0.94
United Kingdom - Service,List,6,--,$0.24
,,,,$101.90
,,,,USD
Multinet Pakistan Pvt. Ltd,,,,
Malaysia - Service,List,1,--,$0.02
North America - Service,List,8,--,$0.08
Pakistan - Service,List,"1,921",--,$27.26
Rest of Asia Pacific - Service,List,3,--,$0.06
Rest of Middle East - Service,List,3,--,$0.06
Saudi Arabia - Service,List,4,--,$0.08
United Arab Emirates - Service,List,14,--,$0.28
United Kingdom - Service,List,7,--,$0.28
,,,,$28.12
,,,,USD
Pak Telecom Mobile Limited,,,,
Chile - Marketing,List,3,--,$0.27
Chile - Service,List,1,--,$0.05
Colombia - Marketing,List,1,--,$0.01
Egypt - Marketing,List,3,--,$0.33
France - Marketing,List,5,--,$0.70
Germany - Marketing,List,8,--,$1.12
India - Marketing,List,1,--,$0.01
Indonesia - Marketing,List,2,--,$0.08
Italy - Marketing,List,16,--,$1.12
Italy - Service,List,4,--,$0.16
Malaysia - Marketing,List,17,--,$1.50
Mexico - Marketing,List,1,--,$0.04
Netherlands - Marketing,List,5,--,$0.80
Nigeria - Marketing,List,2,--,$0.10
North America - Marketing,List,136,--,$3.49
North America - Service,List,9,--,$0.09
Other - Marketing,List,14,--,$0.84
Other - Service,List,2,--,$0.02
Pakistan - Marketing,List,"23,210",--,"$1,097.87"
Pakistan - Service,List,"3,284",--,$46.64
Product,Price type,Conversations,Discount percentage,Total
Rest of Africa - Marketing,List,7,--,$0.15
Rest of Asia Pacific - Marketing,List,77,--,$5.63
Rest of Asia Pacific - Service,List,7,--,$0.14
Rest of Central & Eastern Europe - Marketing,List,16,--,$1.42
Rest of Latin America - Marketing,List,1,--,$0.07
Rest of Middle East - Marketing,List,256,--,$8.72
Rest of Middle East - Service,List,15,--,$0.31
Rest of Western Europe - Marketing,List,35,--,$2.10
Russia - Marketing,List,1,--,$0.08
Saudi Arabia - Marketing,List,286,--,$11.63
Saudi Arabia - Service,List,13,--,$0.26
South Africa - Marketing,List,4,--,$0.16
Spain - Marketing,List,8,--,$0.48
Spain - Service,List,4,--,$0.16
Turkey - Marketing,List,10,--,$0.10
Turkey - Service,List,3,--,$0.00
United Arab Emirates - Marketing,List,842,--,$28.63
United Arab Emirates - Service,List,64,--,$1.27
United Kingdom - Marketing,List,129,--,$9.03
United Kingdom - Service,List,4,--,$0.16
,,,,"$1,225.74"
,,,,USD
Pakistan Cables Limited,,,,
North America - Service,List,1,--,$0.01
Pakistan - Marketing,List,191,--,$8.98
Pakistan - Service,List,561,--,$7.95
Rest of Africa - Service,List,2,--,$0.08
Rest of Asia Pacific - Service,List,1,--,$0.02
Rest of Middle East - Service,List,1,--,$0.02
Saudi Arabia - Service,List,3,--,$0.06
Spain - Service,List,2,--,$0.08
United Arab Emirates - Service,List,2,--,$0.04
United Kingdom - Service,List,3,--,$0.12
,,,,$17.36
,,,,USD
PakQatar Family Takaful Limited,,,,
Nigeria - Service,List,1,--,$0.03
Pakistan - Service,List,"1,389",--,$19.71
Rest of Middle East - Service,List,1,--,$0.02
Saudi Arabia - Service,List,3,--,$0.06
United Arab Emirates - Service,List,7,--,$0.14
,,,,$19.96
,,,,USD
Product,Price type,Conversations,Discount percentage,Total
Pet Arabia Co. W.L.L,,,,
Rest of Middle East - Marketing,List,4,--,$0.12
,,,,$0.12
,,,,USD
Savyour (Private) Limited,,,,
Brazil - Service,List,3,--,$0.09
France - Service,List,3,--,$0.27
India - Service,List,2,--,$0.00
Italy - Service,List,2,--,$0.08
Malaysia - Service,List,2,--,$0.04
North America - Service,List,11,--,$0.11
Pakistan - Service,List,"9,592",--,$136.20
Rest of Asia Pacific - Service,List,2,--,$0.04
Rest of Middle East - Service,List,6,--,$0.12
Rest of Western Europe - Service,List,1,--,$0.04
Saudi Arabia - Service,List,16,--,$0.32
South Africa - Service,List,1,--,$0.02
Spain - Service,List,2,--,$0.08
United Arab Emirates - Service,List,24,--,$0.48
United Kingdom - Service,List,10,--,$0.40
,,,,$138.29
,,,,USD
SeedCred Financial Services Limited,,,,
Rest of Asia Pacific - Utility,List,1,--,$0.05
,,,,$0.05
,,,,USD
Special Communications Organization,,,,
Brazil - Service,List,1,--,$0.03
France - Service,List,1,--,$0.09
Germany - Service,List,1,--,$0.08
North America - Service,List,3,--,$0.03
Other - Service,List,1,--,$0.01
Pakistan - Marketing,List,3,--,$0.14
Pakistan - Service,List,"2,001",--,$28.40
Rest of Asia Pacific - Service,List,3,--,$0.06
Rest of Central & Eastern Europe - Service,List,2,--,$0.06
Rest of Middle East - Service,List,5,--,$0.10
Rest of Western Europe - Service,List,2,--,$0.08
